,chi2,p_value,dof,odds_ratio,unique_count
ENSG00000163481,135.6529990698233,1.7727376203527885e-13,36,,37
ENSG00000188343,126.39872429054934,1.7743354682312497e-13,31,,32
ENSG00000160679,128.19701851202058,1.82728915368514e-13,32,,33
ENSG00000130921,138.79702044303053,2.1191610139225063e-13,38,,39
ENSG00000078487,136.95284604074774,2.1515138639741688e-13,37,,38
ENSG00000002822,166.2445364619277,2.32871486470446e-13,54,,55
ENSG00000250415,61.827445652173914,2.3918436514452887e-13,3,,4
ENSG00000172780,61.78686144516395,2.4400984876621766e-13,3,,4
ENSG00000263711,61.78686144516395,2.4400984876621766e-13,3,,4
ENSG00000255451,101.79319713112247,2.532471106257554e-13,19,,20
ENSG00000069849,226.14130434782606,2.7123955675230746e-13,92,,93
ENSG00000198917,119.40751579338536,2.9439272303509817e-13,28,,29
ENSG00000134222,170.34292549238205,3.168786428689927e-13,57,,58
ENSG00000215271,80.84019658588073,3.435372616320054e-13,10,,11
ENSG00000215277,165.11681253529076,3.4389732965439597e-13,54,,55
ENSG00000165782,159.60367976672325,4.0577594386969057e-13,51,,52
ENSG00000172460,94.0088533438652,4.5395676070201683e-13,16,,17
ENSG00000100056,138.49140912093813,4.606981793613529e-13,39,,40
ENSG00000204219,125.57069723844545,5.010802572234981e-13,32,,33
ENSG00000131475,162.12064761644334,5.434487869523464e-13,53,,54
ENSG00000115325,158.7444645732689,5.47544536144857e-13,51,,52
ENSG00000214046,82.09618765984655,5.794960888044169e-13,11,,12
ENSG00000071889,194.29843857832986,5.82789966895794e-13,73,,74
ENSG00000232527,71.97180945392283,5.89704849280073e-13,7,,8
ENSG00000227550,161.832729468599,6.002493101846042e-13,53,,54
ENSG00000268804,71.930244779981,6.01244041544462e-13,7,,8
ENSG00000254733,77.03515338634185,6.25744336132006e-13,9,,10
ENSG00000184508,113.61645865811866,6.334270716256658e-13,26,,27
ENSG00000243364,76.9823021181717,6.410004405475674e-13,9,,10
ENSG00000153896,97.29990905578398,6.89873747611208e-13,18,,19
ENSG00000270149,68.84504987765857,7.052813189989623e-13,6,,7
ENSG00000133069,230.50120772946858,7.073875549078002e-13,97,,98
ENSG00000181896,126.2842190016103,7.709588624417452e-13,33,,34
ENSG00000233718,103.16867236024846,7.906563374798064e-13,21,,22
ENSG00000160799,201.07185990338158,8.122281726878153e-13,78,,79
ENSG00000246090,112.79797195558065,8.760927719336024e-13,26,,27
ENSG00000162076,96.70523093832273,8.853196332299918e-13,18,,19
ENSG00000101457,211.42663043478257,9.295444352644122e-13,85,,86
ENSG00000150045,225.0513285024154,9.36931085736169e-13,94,,95
ENSG00000152495,138.034923510467,1.0421729523086852e-12,40,,41
ENSG00000144445,98.37486744432661,1.0534316025833953e-12,19,,20
ENSG00000165283,242.49094202898544,1.0629798935787877e-12,106,,107
ENSG00000198185,94.0831546110353,1.096442798018469e-12,17,,18
ENSG00000155876,61.95275309425579,1.1270932417079066e-12,4,,5
ENSG00000108590,151.60771796641362,1.1293865446069302e-12,48,,49
ENSG00000182612,61.93148880105402,1.1387618291057616e-12,4,,5
ENSG00000237316,61.889420813059175,1.1622029721864695e-12,4,,5
ENSG00000254207,61.84795595034024,1.1857796952062133e-12,4,,5
ENSG00000259802,61.84795595034024,1.1857796952062133e-12,4,,5
ENSG00000246214,61.827445652173914,1.1976177672978998e-12,4,,5
ENSG00000174514,77.98134823433354,1.2470130531493243e-12,10,,11
ENSG00000248923,139.25465838509314,1.2649157674838611e-12,41,,42
ENSG00000115694,146.05539740050608,1.319741368130751e-12,45,,46
ENSG00000166925,147.5144104084321,1.4422599115214717e-12,46,,47
ENSG00000211752,79.98859462477895,1.4832427855663668e-12,11,,12
ENSG00000145912,152.5174339712383,1.4833746147534026e-12,49,,50
ENSG00000130713,142.27611118452933,1.4890785654355115e-12,43,,44
ENSG00000105705,195.985305958132,1.5120926452614823e-12,76,,77
ENSG00000146094,172.18750000000003,1.537263705091033e-12,61,,62
ENSG00000229344,244.1259057971014,1.5470940786662734e-12,108,,109
ENSG00000125652,150.6684915814152,1.5697874553173606e-12,48,,49
ENSG00000100823,230.74892951251644,1.5860341135555057e-12,99,,100
ENSG00000211706,77.43224478864374,1.5964798766836205e-12,10,,11
ENSG00000132329,155.637077294686,1.6089128526855633e-12,51,,52
ENSG00000167508,115.02654481624236,1.635295521206423e-12,28,,29
ENSG00000105447,101.28170289855073,1.711235104255583e-12,21,,22
ENSG00000136490,190.7170893719807,1.823305006099499e-12,73,,74
ENSG00000143294,205.97675120772945,1.9348558057043733e-12,83,,84
ENSG00000230262,53.784478728377756,2.09338369938783e-12,2,,3
ENSG00000131470,94.62879333813756,2.1104195783377557e-12,18,,19
ENSG00000141741,142.89616859589685,2.2065243343733302e-12,44,,45
ENSG00000164967,76.50319185645272,2.4238619524019783e-12,10,,11
ENSG00000126353,161.04693292888442,2.4342701498312216e-12,55,,56
ENSG00000243536,94.25422705314011,2.4674980836369363e-12,18,,19
ENSG00000181817,139.09894755003452,2.5044489431707917e-12,42,,43
ENSG00000198821,144.22201508257496,2.528395941320355e-12,45,,46
ENSG00000136371,63.189023498343566,2.6601748607451427e-12,5,,6
ENSG00000170584,155.788317962231,2.706463221831524e-12,52,,53
ENSG00000234171,78.59261399200733,2.759682030290423e-12,11,,12
ENSG00000182552,145.22662688263705,3.2304146399016034e-12,46,,47
ENSG00000162639,168.30149915984035,3.2623370413976596e-12,60,,61
ENSG00000092036,143.32260395100067,3.474053966811528e-12,45,,46
ENSG00000135549,87.05348164906988,3.504802006319913e-12,15,,16
ENSG00000113456,131.18233275240016,3.5241584774902944e-12,38,,39
ENSG00000150787,141.48651368760062,3.640045773852088e-12,44,,45
ENSG00000089248,196.1669685990338,3.745624118305568e-12,78,,79
ENSG00000170473,136.21829710144925,3.786935260890598e-12,41,,42
ENSG00000167765,62.24401688044866,4.174529730169541e-12,5,,6
ENSG00000141564,104.87510832771906,4.377226215874163e-12,24,,25
ENSG00000170653,62.136175512642616,4.394718828844682e-12,5,,6
ENSG00000140691,62.06144604277787,4.5540655211134475e-12,5,,6
ENSG00000236432,61.88942081305917,4.943143769785574e-12,5,,6
ENSG00000215504,64.685512086514,5.001300889745114e-12,6,,7
ENSG00000171135,88.19163951061945,5.3799330241863194e-12,16,,17
ENSG00000227507,147.05435566848607,5.5282851856188605e-12,48,,49
ENSG00000205937,200.79936594202894,5.899534480788699e-12,82,,83
ENSG00000254717,252.30072463768116,6.1009128869586016e-12,117,,118
ENSG00000104980,109.72835487092485,6.168934389852742e-12,27,,28
ENSG00000100804,143.2400314868758,6.479333321316196e-12,46,,47
ENSG00000105011,109.42534743365945,6.939544282587666e-12,27,,28
ENSG00000099203,114.85477053140097,7.331315830272396e-12,30,,31
ENSG00000170088,105.41869392684612,7.554937397717488e-12,25,,26
ENSG00000144560,245.76086956521735,7.570454888081384e-12,113,,114
ENSG00000100445,128.84798424200596,8.249360054489876e-12,38,,39
ENSG00000099849,80.46712099730769,9.0112804506535e-12,13,,14
ENSG00000131634,163.46769323671498,9.451990217810685e-12,59,,60
ENSG00000228889,90.88694920216659,1.0003924539713146e-11,18,,19
ENSG00000101882,164.89304626532888,1.0011146520730423e-11,60,,61
ENSG00000141504,156.75482612529714,1.0305570035906383e-11,55,,56
ENSG00000159713,100.76930994729908,1.0366382277996216e-11,23,,24
ENSG00000175634,235.95108695652175,1.0372388690697405e-11,107,,108
ENSG00000135446,131.5811191626409,1.0764470194112417e-11,40,,41
ENSG00000121073,238.67602657004826,1.088801226103481e-11,109,,110
ENSG00000123415,111.97065984203664,1.091931178319396e-11,29,,30
ENSG00000137171,109.82531055900621,1.2232186638006422e-11,28,,29
ENSG00000251399,246.850845410628,1.2392734890109825e-11,115,,116
ENSG00000163866,139.64193917998261,1.2642440420792961e-11,45,,46
ENSG00000175538,159.32838020473892,1.2827719877432802e-11,57,,58
ENSG00000133316,129.25880132850241,1.3329173937536415e-11,39,,40
ENSG00000160193,109.5968218336484,1.3354466909302791e-11,28,,29
ENSG00000214184,77.31121560155252,1.340676563635293e-11,12,,13
ENSG00000105928,77.22059643255297,1.3948452223942382e-11,12,,13
ENSG00000206344,62.48859633928056,1.4030304222117188e-11,6,,7
ENSG00000229666,230.50120772946858,1.409804857492678e-11,104,,105
ENSG00000171174,93.96739130434781,1.4887082225605136e-11,20,,21
ENSG00000183513,127.10921325051758,1.5486802104859656e-11,38,,39
ENSG00000135951,145.6507803790412,1.588202020510081e-11,49,,50
ENSG00000184489,163.46769323671498,1.5944259928964125e-11,60,,61
ENSG00000259162,160.20361530251566,1.631701959652484e-11,58,,59
ENSG00000136897,97.65908049395902,1.6499868266031534e-11,22,,23
ENSG00000257345,62.12862318840579,1.661027972229217e-11,6,,7
ENSG00000156990,140.3346952410319,1.779998993125905e-11,46,,47
ENSG00000140459,112.3350028417164,1.907401797994435e-11,30,,31
ENSG00000270164,85.14514320220842,1.9418232119714812e-11,16,,17
ENSG00000197497,78.56772360685716,2.049937129372599e-11,13,,14
ENSG00000169021,102.7962570074143,2.1125016129399926e-11,25,,26
ENSG00000134153,181.3107393813915,2.14130179284743e-11,72,,73
ENSG00000162928,104.6129089811155,2.1681621781667822e-11,26,,27
ENSG00000146856,96.96785338838575,2.1751094046082607e-11,22,,23
ENSG00000188647,102.60272336359293,2.2784157727168105e-11,25,,26
ENSG00000253669,64.02786131637738,2.35747630583052e-11,7,,8
ENSG00000006015,151.02380233494364,2.364407552067026e-11,53,,54
ENSG00000101361,241.40096618357487,2.5153775496275923e-11,113,,114
ENSG00000250073,139.3065619967794,2.5398328322235282e-11,46,,47
ENSG00000147687,195.85554692891643,2.6196372747459078e-11,82,,83
ENSG00000230322,105.97947379949,2.629376607114155e-11,27,,28
ENSG00000114383,140.86672350099457,2.6306631863468827e-11,47,,48
ENSG00000164008,150.69940476190473,2.635127963375033e-11,53,,54
ENSG00000211734,98.3603314853315,2.697977910058785e-11,23,,24
ENSG00000114686,200.2513835801879,2.699982007235628e-11,85,,86
ENSG00000152219,128.9222386912604,2.782032678959913e-11,40,,41
ENSG00000213551,148.90873015873015,2.7861149372230263e-11,52,,53
ENSG00000148291,118.47923966130489,2.7988340273620667e-11,34,,35
ENSG00000168397,187.9921497584541,2.8755757975614418e-11,77,,78
ENSG00000101193,172.4989216701173,3.002054267583063e-11,67,,68
ENSG00000248712,105.45342942082073,3.2188362087982845e-11,27,,28
ENSG00000169902,77.5069586987622,3.239826024730886e-11,13,,14
ENSG00000214765,150.06099033816423,3.2606988381299215e-11,53,,54
ENSG00000153140,128.44354430150716,3.2980143564739977e-11,40,,41
ENSG00000156928,114.47848749479185,3.3019644204401946e-11,32,,33
ENSG00000180964,193.44202898550722,3.4391096195955775e-11,81,,82
ENSG00000087076,77.35960144927537,3.452252188197004e-11,13,,14
ENSG00000100246,119.36117604280297,3.8599619922822635e-11,35,,36
ENSG00000130299,65.48509316770188,3.869371098221474e-11,8,,9
ENSG00000109736,147.91996635610766,3.879368337850439e-11,52,,53
ENSG00000175756,152.64579020013804,4.030131344467575e-11,55,,56
ENSG00000165943,62.86568213783403,4.0323489095911715e-11,7,,8
ENSG00000166452,242.49094202898553,4.063989403567816e-11,115,,116
ENSG00000136717,189.7568725557856,4.209329326182921e-11,79,,80
ENSG00000196843,119.07064139061423,4.2913108318036355e-11,35,,36
ENSG00000141994,93.27146194662232,4.3749951140833e-11,21,,22
ENSG00000179144,189.62711352657004,4.376674055162645e-11,79,,80
ENSG00000107833,62.64492753623188,4.464762698940222e-11,7,,8
ENSG00000107789,108.05157969683663,4.842497780878269e-11,29,,30
ENSG00000171953,125.52814938684504,5.064265809990873e-11,39,,40
ENSG00000104964,228.6845813204508,5.246142081643267e-11,106,,107
ENSG00000126705,62.2821544205101,5.278036983243896e-11,7,,8
ENSG00000237513,62.267628205128204,5.313512906557726e-11,7,,8
ENSG00000185187,142.07323491970232,5.3567119645360175e-11,49,,50
ENSG00000183628,78.49149944258639,5.383512450132994e-11,14,,15
ENSG00000168421,130.38177103734162,5.504487807592195e-11,42,,43
ENSG00000150779,162.650211352657,5.744909909731806e-11,62,,63
ENSG00000147813,128.54894365413298,5.792323183345612e-11,41,,42
ENSG00000153044,100.18137381013636,5.848006598426452e-11,25,,26
ENSG00000223704,62.03938539989265,5.903192541371226e-11,7,,8
ENSG00000090316,154.5868673144488,6.076231397521043e-11,57,,58
ENSG00000160201,204.8867753623188,6.089530554555327e-11,90,,91
ENSG00000270820,96.19615042198927,6.339140851293825e-11,23,,24
ENSG00000211637,82.07541531105196,7.017360444716213e-11,16,,17
ENSG00000163001,181.99728260869566,7.063711854308255e-11,75,,76
ENSG00000091972,97.80097385169849,7.106160586632204e-11,24,,25
ENSG00000211816,61.62159835174131,7.156693371408332e-11,7,,8
ENSG00000213759,105.19056187789775,7.179927630204862e-11,28,,29
ENSG00000005801,106.96749591899305,7.290139027693864e-11,29,,30
ENSG00000064703,132.82726113794953,7.531983089183708e-11,44,,45
ENSG00000207939,190.71708937198068,7.742161206479734e-11,81,,82
ENSG00000221923,115.64118301051968,7.916049315664354e-11,34,,35
ENSG00000119953,214.15157004830914,8.033681005074569e-11,97,,98
ENSG00000132507,214.1515700483091,8.033681005074684e-11,97,,98
ENSG00000109103,134.13743412384713,8.494866039452919e-11,45,,46
ENSG00000164615,159.65277777777777,9.067258409937219e-11,61,,62
ENSG00000154814,164.3012041773231,9.147238287834504e-11,64,,65
ENSG00000166313,128.91545893719805,9.182257624867772e-11,42,,43
ENSG00000130348,151.69595410628017,9.281878165888824e-11,56,,57
ENSG00000168522,122.10051472279733,9.33266110724785e-11,38,,39
ENSG00000247400,72.74714268881819,9.774036961296519e-11,12,,13
ENSG00000161326,81.23347435759246,9.96597657840008e-11,16,,17
ENSG00000136280,233.47386912604298,9.989670342930431e-11,111,,112
ENSG00000260693,63.339567061794604,1.0268786593163357e-10,8,,9
ENSG00000130717,136.78724053724054,1.0580954165782759e-10,47,,48
ENSG00000246662,63.27304920985835,1.0583731174384051e-10,8,,9
ENSG00000204231,89.09935553353428,1.0648295593074874e-10,20,,21
ENSG00000164758,107.67847384215673,1.0967251866038187e-10,30,,31
ENSG00000112773,74.65042204172639,1.1058437046119107e-10,13,,14
ENSG00000119616,128.35596644355576,1.1154889595055668e-10,42,,43
ENSG00000158526,192.35205314009661,1.1504013405108365e-10,83,,84
ENSG00000181038,111.09495275256144,1.1547745665528461e-10,32,,33
ENSG00000259345,193.7145229468599,1.191552754531766e-10,84,,85
ENSG00000119402,155.56536835748796,1.2289003814666746e-10,59,,60
ENSG00000249192,60.438052581594775,1.234125304082027e-10,7,,8
ENSG00000169217,164.8930462653289,1.2347366929238868e-10,65,,66
ENSG00000120539,107.34412388821166,1.2423356902774638e-10,30,,31
ENSG00000173085,177.0923913043478,1.2471197956501333e-10,73,,74
ENSG00000129270,57.749157368665735,1.288219088570582e-10,6,,7
ENSG00000162836,94.29766969345141,1.3356151105019407e-10,23,,24
ENSG00000103485,62.726000119774824,1.3567035066136002e-10,8,,9
ENSG00000232426,69.74689415695727,1.364754844005158e-10,11,,12
