,chi2,p_value,odds_ratio,chi_p_value,mi_score,hybrid_score
ENSG00000253105,7.200082287201471,0.007290023815071085,0.0,0.007290023815071085,0.012320153951562666,4.9335686063875
ENSG00000167653,7.200082287201471,0.007290023815071085,0.0,0.007290023815071085,0.012320153951562666,4.9335686063875
ENSG00000253548,7.200082287201471,0.007290023815071085,0.0,0.007290023815071085,0.012320153951562666,4.9335686063875
ENSG00000259485,7.200082287201471,0.007290023815071085,0.0,0.007290023815071085,0.012320153951562666,4.9335686063875
ENSG00000237133,7.200082287201471,0.007290023815071085,0.0,0.007290023815071085,0.012320153951562666,4.9335686063875
ENSG00000214688,7.200082287201471,0.007290023815071085,0.0,0.007290023815071085,0.012320153951562666,4.9335686063875
ENSG00000260066,7.200082287201471,0.007290023815071085,0.0,0.007290023815071085,0.012320153951562666,4.9335686063875
ENSG00000221990,7.200082287201471,0.007290023815071085,0.0,0.007290023815071085,0.012320153951562666,4.9335686063875
ENSG00000211904,7.200082287201471,0.007290023815071085,0.0,0.007290023815071085,0.012320153951562666,4.9335686063875
ENSG00000211882,7.200082287201471,0.007290023815071085,0.0,0.007290023815071085,0.012320153951562666,4.9335686063875
ENSG00000213400,7.200082287201471,0.007290023815071085,0.0,0.007290023815071085,0.012320153951562666,4.9335686063875
ENSG00000260335,7.200082287201471,0.007290023815071085,0.0,0.007290023815071085,0.012320153951562666,4.9335686063875
ENSG00000204347,7.200082287201471,0.007290023815071085,0.0,0.007290023815071085,0.012320153951562666,4.9335686063875
ENSG00000257849,7.200082287201471,0.007290023815071085,0.0,0.007290023815071085,0.012320153951562666,4.9335686063875
ENSG00000254030,7.200082287201471,0.007290023815071085,0.0,0.007290023815071085,0.012320153951562666,4.9335686063875
ENSG00000251175,7.200082287201471,0.007290023815071085,0.0,0.007290023815071085,0.012320153951562666,4.9335686063875
ENSG00000267298,7.200082287201471,0.007290023815071085,0.0,0.007290023815071085,0.012320153951562666,4.9335686063875
ENSG00000267299,7.200082287201471,0.007290023815071085,0.0,0.007290023815071085,0.012320153951562666,4.9335686063875
ENSG00000232500,7.200082287201471,0.007290023815071085,0.0,0.007290023815071085,0.012320153951562666,4.9335686063875
ENSG00000230330,7.200082287201471,0.007290023815071085,0.0,0.007290023815071085,0.012320153951562666,4.9335686063875
ENSG00000224066,7.200082287201471,0.007290023815071085,0.0,0.007290023815071085,0.012320153951562666,4.9335686063875
ENSG00000267429,7.200082287201471,0.007290023815071085,0.0,0.007290023815071085,0.012320153951562666,4.9335686063875
ENSG00000255980,7.200082287201471,0.007290023815071085,0.0,0.007290023815071085,0.012320153951562666,4.9335686063875
ENSG00000248646,7.200082287201471,0.007290023815071085,0.0,0.007290023815071085,0.012320153951562666,4.9335686063875
ENSG00000229697,7.200082287201471,0.007290023815071085,0.0,0.007290023815071085,0.012320153951562666,4.9335686063875
ENSG00000248692,7.200082287201471,0.007290023815071085,0.0,0.007290023815071085,0.012320153951562666,4.9335686063875
ENSG00000257446,7.200082287201471,0.007290023815071085,0.0,0.007290023815071085,0.012320153951562666,4.9335686063875
ENSG00000257880,7.200082287201471,0.007290023815071085,0.0,0.007290023815071085,0.012320153951562666,4.9335686063875
ENSG00000234553,7.200082287201471,0.007290023815071085,0.0,0.007290023815071085,0.012320153951562666,4.9335686063875
ENSG00000229525,7.200082287201471,0.007290023815071085,0.0,0.007290023815071085,0.012320153951562666,4.9335686063875
ENSG00000271035,7.200082287201471,0.007290023815071085,0.0,0.007290023815071085,0.012320153951562666,4.9335686063875
ENSG00000231120,7.200082287201471,0.007290023815071085,0.0,0.007290023815071085,0.012320153951562666,4.9335686063875
ENSG00000188263,7.200082287201471,0.007290023815071085,0.0,0.007290023815071085,0.012320153951562666,4.9335686063875
ENSG00000249894,7.200082287201471,0.007290023815071085,0.0,0.007290023815071085,0.012320153951562666,4.9335686063875
ENSG00000240770,7.200082287201471,0.007290023815071085,0.0,0.007290023815071085,0.012320153951562666,4.9335686063875
ENSG00000269535,7.200082287201471,0.007290023815071085,0.0,0.007290023815071085,0.012320153951562666,4.9335686063875
ENSG00000269071,7.200082287201471,0.007290023815071085,0.0,0.007290023815071085,0.012320153951562666,4.9335686063875
ENSG00000230782,7.200082287201471,0.007290023815071085,0.0,0.007290023815071085,0.012320153951562666,4.9335686063875
ENSG00000112218,7.200082287201471,0.007290023815071085,0.0,0.007290023815071085,0.012320153951562666,4.9335686063875
ENSG00000249365,7.200082287201471,0.007290023815071085,0.0,0.007290023815071085,0.012320153951562666,4.9335686063875
ENSG00000134115,7.200082287201471,0.007290023815071085,0.0,0.007290023815071085,0.012320153951562666,4.9335686063875
ENSG00000111325,7.200082287201471,0.007290023815071085,0.0,0.007290023815071085,0.012320153951562666,4.9335686063875
ENSG00000186940,7.200082287201471,0.007290023815071085,0.0,0.007290023815071085,0.012320153951562666,4.9335686063875
ENSG00000232511,7.200082287201471,0.007290023815071085,0.0,0.007290023815071085,0.012320153951562666,4.9335686063875
ENSG00000253912,7.200082287201471,0.007290023815071085,0.0,0.007290023815071085,0.012320153951562666,4.9335686063875
ENSG00000221845,7.200082287201471,0.007290023815071085,0.0,0.007290023815071085,0.012320153951562666,4.9335686063875
ENSG00000253818,7.200082287201471,0.007290023815071085,0.0,0.007290023815071085,0.012320153951562666,4.9335686063875
ENSG00000254161,7.200082287201471,0.007290023815071085,0.0,0.007290023815071085,0.012320153951562666,4.9335686063875
ENSG00000270127,7.200082287201471,0.007290023815071085,0.0,0.007290023815071085,0.012320153951562666,4.9335686063875
ENSG00000248583,7.200082287201471,0.007290023815071085,0.0,0.007290023815071085,0.012320153951562666,4.9335686063875
ENSG00000140937,7.200082287201471,0.007290023815071085,0.0,0.007290023815071085,0.012320153951562666,4.9335686063875
ENSG00000222037,7.200082287201471,0.007290023815071085,0.0,0.007290023815071085,0.012320153951562666,4.9335686063875
ENSG00000268328,5.54559506931317,0.01852725629674146,0.09107806691449814,0.01852725629674146,0.008963135682231345,3.9974754481065142
ENSG00000237350,5.249109075128872,0.021958010934217148,0.1478599221789883,0.021958010934217148,0.009044210209043835,3.827667448864095
ENSG00000242262,4.752346837944664,0.029258365392429465,0.1044776119402985,0.029258365392429465,0.008223024453381952,3.539812770906605
ENSG00000258914,3.1420677139345528,0.07629702517513189,0.02909090909090909,0.07629702517513189,0.0075564001410384045,2.580677728812551
ENSG00000234981,3.1420677139345528,0.07629702517513189,0.02909090909090909,0.07629702517513189,0.0075564001410384045,2.580677728812551
ENSG00000249345,3.1420677139345528,0.07629702517513189,0.02909090909090909,0.07629702517513189,0.0075564001410384045,2.580677728812551
ENSG00000138039,3.1420677139345528,0.07629702517513189,0.02909090909090909,0.07629702517513189,0.0075564001410384045,2.580677728812551
ENSG00000229570,3.1420677139345528,0.07629702517513189,0.02909090909090909,0.07629702517513189,0.0075564001410384045,2.580677728812551
ENSG00000224042,3.1420677139345528,0.07629702517513189,0.02909090909090909,0.07629702517513189,0.0075564001410384045,2.580677728812551
ENSG00000203335,3.1420677139345528,0.07629702517513189,0.02909090909090909,0.07629702517513189,0.0075564001410384045,2.580677728812551
ENSG00000158296,3.1420677139345528,0.07629702517513189,0.02909090909090909,0.07629702517513189,0.0075564001410384045,2.580677728812551
ENSG00000163126,3.1420677139345528,0.07629702517513189,0.02909090909090909,0.07629702517513189,0.0075564001410384045,2.580677728812551
ENSG00000244052,3.1420677139345528,0.07629702517513189,0.02909090909090909,0.07629702517513189,0.0075564001410384045,2.580677728812551
ENSG00000272055,3.1420677139345528,0.07629702517513189,0.02909090909090909,0.07629702517513189,0.0075564001410384045,2.580677728812551
ENSG00000237297,3.1420677139345528,0.07629702517513189,0.02909090909090909,0.07629702517513189,0.0075564001410384045,2.580677728812551
ENSG00000236811,3.1420677139345528,0.07629702517513189,0.02909090909090909,0.07629702517513189,0.0075564001410384045,2.580677728812551
ENSG00000215323,3.1420677139345528,0.07629702517513189,0.02909090909090909,0.07629702517513189,0.0075564001410384045,2.580677728812551
ENSG00000236400,3.1420677139345528,0.07629702517513189,0.02909090909090909,0.07629702517513189,0.0075564001410384045,2.580677728812551
ENSG00000143028,3.1420677139345528,0.07629702517513189,0.02909090909090909,0.07629702517513189,0.0075564001410384045,2.580677728812551
ENSG00000224110,3.1420677139345528,0.07629702517513189,0.02909090909090909,0.07629702517513189,0.0075564001410384045,2.580677728812551
ENSG00000225051,3.1420677139345528,0.07629702517513189,0.02909090909090909,0.07629702517513189,0.0075564001410384045,2.580677728812551
ENSG00000239672,3.1420677139345528,0.07629702517513189,0.02909090909090909,0.07629702517513189,0.0075564001410384045,2.580677728812551
ENSG00000241128,3.1420677139345528,0.07629702517513189,0.02909090909090909,0.07629702517513189,0.0075564001410384045,2.580677728812551
ENSG00000241185,3.1420677139345528,0.07629702517513189,0.02909090909090909,0.07629702517513189,0.0075564001410384045,2.580677728812551
ENSG00000227620,3.1420677139345528,0.07629702517513189,0.02909090909090909,0.07629702517513189,0.0075564001410384045,2.580677728812551
ENSG00000230547,3.1420677139345528,0.07629702517513189,0.02909090909090909,0.07629702517513189,0.0075564001410384045,2.580677728812551
ENSG00000231530,3.1420677139345528,0.07629702517513189,0.02909090909090909,0.07629702517513189,0.0075564001410384045,2.580677728812551
ENSG00000251027,3.1420677139345528,0.07629702517513189,0.02909090909090909,0.07629702517513189,0.0075564001410384045,2.580677728812551
ENSG00000249948,3.1420677139345528,0.07629702517513189,0.02909090909090909,0.07629702517513189,0.0075564001410384045,2.580677728812551
ENSG00000269339,3.1420677139345528,0.07629702517513189,0.02909090909090909,0.07629702517513189,0.0075564001410384045,2.580677728812551
ENSG00000267033,3.1420677139345528,0.07629702517513189,0.02909090909090909,0.07629702517513189,0.0075564001410384045,2.580677728812551
ENSG00000223875,3.1420677139345528,0.07629702517513189,0.02909090909090909,0.07629702517513189,0.0075564001410384045,2.580677728812551
ENSG00000257877,3.1420677139345528,0.07629702517513189,0.02909090909090909,0.07629702517513189,0.0075564001410384045,2.580677728812551
ENSG00000221949,3.1420677139345528,0.07629702517513189,0.02909090909090909,0.07629702517513189,0.0075564001410384045,2.580677728812551
ENSG00000270986,3.1420677139345528,0.07629702517513189,0.02909090909090909,0.07629702517513189,0.0075564001410384045,2.580677728812551
ENSG00000247853,3.1420677139345528,0.07629702517513189,0.02909090909090909,0.07629702517513189,0.0075564001410384045,2.580677728812551
ENSG00000182583,3.1420677139345528,0.07629702517513189,0.02909090909090909,0.07629702517513189,0.0075564001410384045,2.580677728812551
ENSG00000258655,3.1420677139345528,0.07629702517513189,0.02909090909090909,0.07629702517513189,0.0075564001410384045,2.580677728812551
ENSG00000247095,3.1420677139345528,0.07629702517513189,0.02909090909090909,0.07629702517513189,0.0075564001410384045,2.580677728812551
ENSG00000248885,3.1420677139345528,0.07629702517513189,0.02909090909090909,0.07629702517513189,0.0075564001410384045,2.580677728812551
ENSG00000140067,3.1420677139345528,0.07629702517513189,0.02909090909090909,0.07629702517513189,0.0075564001410384045,2.580677728812551
ENSG00000257925,3.1420677139345528,0.07629702517513189,0.02909090909090909,0.07629702517513189,0.0075564001410384045,2.580677728812551
ENSG00000266045,1.8092012282865657,0.1786040797696982,0.058394160583941604,0.1786040797696982,0.005821239357697072,1.7284050065430154
ENSG00000222296,1.8092012282865657,0.1786040797696982,0.058394160583941604,0.1786040797696982,0.005821239357697072,1.7284050065430154
ENSG00000139180,1.8092012282865657,0.1786040797696982,0.058394160583941604,0.1786040797696982,0.005821239357697072,1.7284050065430154
ENSG00000234594,1.8092012282865657,0.1786040797696982,0.058394160583941604,0.1786040797696982,0.005821239357697072,1.7284050065430154
ENSG00000257749,1.8092012282865657,0.1786040797696982,0.058394160583941604,0.1786040797696982,0.005821239357697072,1.7284050065430154
ENSG00000105976,1.8092012282865657,0.1786040797696982,0.058394160583941604,0.1786040797696982,0.005821239357697072,1.7284050065430154
ENSG00000130810,1.8092012282865657,0.1786040797696982,0.058394160583941604,0.1786040797696982,0.005821239357697072,1.7284050065430154
ENSG00000267734,1.8092012282865657,0.1786040797696982,0.058394160583941604,0.1786040797696982,0.005821239357697072,1.7284050065430154
ENSG00000185133,1.8092012282865657,0.1786040797696982,0.058394160583941604,0.1786040797696982,0.005821239357697072,1.7284050065430154
ENSG00000249129,1.8092012282865657,0.1786040797696982,0.058394160583941604,0.1786040797696982,0.005821239357697072,1.7284050065430154
ENSG00000268759,1.8092012282865657,0.1786040797696982,0.058394160583941604,0.1786040797696982,0.005821239357697072,1.7284050065430154
ENSG00000253257,1.8092012282865657,0.1786040797696982,0.058394160583941604,0.1786040797696982,0.005821239357697072,1.7284050065430154
ENSG00000230903,1.8092012282865657,0.1786040797696982,0.058394160583941604,0.1786040797696982,0.005821239357697072,1.7284050065430154
ENSG00000268993,1.8092012282865657,0.1786040797696982,0.058394160583941604,0.1786040797696982,0.005821239357697072,1.7284050065430154
ENSG00000163879,1.8092012282865657,0.1786040797696982,0.058394160583941604,0.1786040797696982,0.005821239357697072,1.7284050065430154
ENSG00000235524,1.8092012282865657,0.1786040797696982,0.058394160583941604,0.1786040797696982,0.005821239357697072,1.7284050065430154
ENSG00000090971,1.8092012282865657,0.1786040797696982,0.058394160583941604,0.1786040797696982,0.005821239357697072,1.7284050065430154
ENSG00000178127,1.8092012282865657,0.1786040797696982,0.058394160583941604,0.1786040797696982,0.005821239357697072,1.7284050065430154
ENSG00000178568,1.8092012282865657,0.1786040797696982,0.058394160583941604,0.1786040797696982,0.005821239357697072,1.7284050065430154
ENSG00000243007,1.8092012282865657,0.1786040797696982,0.058394160583941604,0.1786040797696982,0.005821239357697072,1.7284050065430154
ENSG00000237309,1.8092012282865657,0.1786040797696982,0.058394160583941604,0.1786040797696982,0.005821239357697072,1.7284050065430154
ENSG00000173213,1.8092012282865657,0.1786040797696982,0.058394160583941604,0.1786040797696982,0.005821239357697072,1.7284050065430154
ENSG00000272195,1.8092012282865657,0.1786040797696982,0.058394160583941604,0.1786040797696982,0.005821239357697072,1.7284050065430154
ENSG00000261005,1.8092012282865657,0.1786040797696982,0.058394160583941604,0.1786040797696982,0.005821239357697072,1.7284050065430154
ENSG00000213397,1.8092012282865657,0.1786040797696982,0.058394160583941604,0.1786040797696982,0.005821239357697072,1.7284050065430154
ENSG00000211958,1.8092012282865657,0.1786040797696982,0.058394160583941604,0.1786040797696982,0.005821239357697072,1.7284050065430154
ENSG00000260461,1.8092012282865657,0.1786040797696982,0.058394160583941604,0.1786040797696982,0.005821239357697072,1.7284050065430154
ENSG00000171060,1.8092012282865657,0.1786040797696982,0.058394160583941604,0.1786040797696982,0.005821239357697072,1.7284050065430154
ENSG00000241352,1.8092012282865657,0.1786040797696982,0.058394160583941604,0.1786040797696982,0.005821239357697072,1.7284050065430154
ENSG00000069431,1.8092012282865657,0.1786040797696982,0.058394160583941604,0.1786040797696982,0.005821239357697072,1.7284050065430154
ENSG00000231947,1.8092012282865657,0.1786040797696982,0.058394160583941604,0.1786040797696982,0.005821239357697072,1.7284050065430154
ENSG00000234369,1.8092012282865657,0.1786040797696982,0.058394160583941604,0.1786040797696982,0.005821239357697072,1.7284050065430154
ENSG00000240423,1.157780345814637,0.2819263532502263,0.08791208791208792,0.2819263532502263,0.004730126316776176,1.2708395268011063
ENSG00000211952,1.157780345814637,0.2819263532502263,0.08791208791208792,0.2819263532502263,0.004730126316776176,1.2708395268011063
ENSG00000226794,1.157780345814637,0.2819263532502263,0.08791208791208792,0.2819263532502263,0.004730126316776176,1.2708395268011063
ENSG00000213851,1.157780345814637,0.2819263532502263,0.08791208791208792,0.2819263532502263,0.004730126316776176,1.2708395268011063
ENSG00000226414,1.157780345814637,0.2819263532502263,0.08791208791208792,0.2819263532502263,0.004730126316776176,1.2708395268011063
